"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","21","Avoid excessively long variable names like mailMessageInstace","Naming Rules","LongVariable"
"2","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","25","Local variable 'appDirectory' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"3","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","28","Local variable 'listFiles' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","32","Local variable 'attachment' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"5","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","33","Avoid excessively long variable names like lastZippedLogFiles","Naming Rules","LongVariable"
"6","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","33","Local variable 'lastZippedLogFiles' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"7","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","43","Avoid using final local variables, turn them into fields","Controversial Rules","AvoidFinalLocalVariable"
"8","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","5","43","Found 'DU'-anomaly for variable 'NO_INDEX' (lines '43'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"9","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","44","Local variable 'existentZipFiles' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"10","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","46","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"11","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","48","Do not add empty strings","Optimization Rules","AddEmptyString"
"12","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","52","Parameter 'appDirectory' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","55","Parameter 'file' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"14","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","69","Avoid variables with short names like to","Naming Rules","ShortVariable"
"15","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","70","Avoid excessively long variable names like messageContentToSend","Naming Rules","LongVariable"
"16","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","96","Avoid excessively long variable names like mailMessageInstace","Naming Rules","LongVariable"
"17","br.com.campanhasms.mail","src/br/com/campanhasms/mail/MailServiceWrapper.java","3","96","Parameter 'mailMessageInstace' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"18","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"19","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","2","17","The Logger variable declaration does not contain the static and final modifiers","Java Logging Rules","LoggerIsNotStaticFinal"
"20","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","19","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"21","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","19","A method/constructor shouldn't explicitly throw java.lang.Exception","Type Resolution Rules","SignatureDeclareThrowsException"
"22","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","20","Avoid excessively long variable names like systemPrevaylerModel","Naming Rules","LongVariable"
"23","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","20","Local variable 'systemPrevaylerModel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"24","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","21","Local variable 'messageContent' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"25","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","21","StringBuffer constructor is initialized with size 16, but has at least 340 characters appended.","String and StringBuffer Rules","InsufficientStringBufferDeclaration"
"26","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","23","StringBuffer.append is called 5 consecutive times with literal Strings. Use a single append with a single String.","String and StringBuffer Rules","ConsecutiveLiteralAppends"
"27","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","32","StringBuffer.append is called 2 consecutive times with literal Strings. Use a single append with a single String.","String and StringBuffer Rules","ConsecutiveLiteralAppends"
"28","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","33","StringBuffer.append is called 2 consecutive times with literal Strings. Use a single append with a single String.","String and StringBuffer Rules","ConsecutiveLiteralAppends"
"29","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","33","The String literal '</TD>' appears 5 times in this file; the first occurrence is on line 33","String and StringBuffer Rules","AvoidDuplicateLiterals"
"30","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","33","The String literal '<TD>' appears 5 times in this file; the first occurrence is on line 33","String and StringBuffer Rules","AvoidDuplicateLiterals"
"31","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","34","StringBuffer.append is called 2 consecutive times with literal Strings. Use a single append with a single String.","String and StringBuffer Rules","ConsecutiveLiteralAppends"
"32","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","42","StringBuffer.append is called 9 consecutive times with literal Strings. Use a single append with a single String.","String and StringBuffer Rules","ConsecutiveLiteralAppends"
